# episode, # turns, reward
202.0, 13.0, 0.52
203.0, 9.0, -0.36
204.0, 6.0, -0.24000000000000002
205.0, 3.0, -0.12
206.0, 3.0, -0.12
207.0, 3.0, 0.92
208.0, 2.0, -0.08
209.0, 10.0, 0.64
210.0, 11.0, -0.43999999999999995
211.0, 8.0, -0.32
212.0, 12.0, -0.4799999999999999
213.0, 9.0, -0.36
214.0, 14.0, -0.5599999999999999
215.0, 9.0, -0.36
216.0, 7.0, 0.76
217.0, 10.0, -0.39999999999999997
218.0, 17.0, -0.68
219.0, 6.0, 0.8
220.0, 5.0, -0.2
221.0, 8.0, -0.32
222.0, 5.0, -0.2
223.0, 6.0, -0.24000000000000002
224.0, 11.0, -0.43999999999999995
225.0, 6.0, -0.24000000000000002
226.0, 7.0, -0.28
227.0, 6.0, -0.24000000000000002
228.0, 13.0, -0.5199999999999999
229.0, 5.0, 0.84
230.0, 6.0, -0.24000000000000002
231.0, 5.0, -0.2
232.0, 11.0, 0.6000000000000001
233.0, 5.0, -0.2
234.0, 3.0, -0.12
235.0, 15.0, -0.6
236.0, 4.0, -0.16
237.0, 6.0, -0.24000000000000002
238.0, 5.0, -0.2
239.0, 3.0, -0.12
240.0, 12.0, 0.56
241.0, 9.0, -0.36
242.0, 6.0, -0.24000000000000002
243.0, 3.0, -0.12
244.0, 11.0, 0.6000000000000001
245.0, 9.0, -0.36
246.0, 4.0, -0.16
247.0, 5.0, 0.84
248.0, 8.0, 0.72
249.0, 4.0, -0.16
250.0, 5.0, -0.2
251.0, 4.0, 0.88
252.0, 6.0, 0.8
253.0, 5.0, 0.84
254.0, 10.0, -0.39999999999999997
255.0, 15.0, -0.6
256.0, 5.0, -0.2
257.0, 17.0, -0.68
258.0, 9.0, -0.36
259.0, 9.0, -0.36
260.0, 6.0, 0.8
261.0, 13.0, -0.5199999999999999
262.0, 4.0, -0.16
263.0, 9.0, -0.36
264.0, 15.0, -0.6
265.0, 5.0, -0.2
266.0, 4.0, 0.88
267.0, 13.0, -0.5199999999999999
268.0, 6.0, -0.24000000000000002
269.0, 12.0, 0.56
270.0, 3.0, -0.12
271.0, 17.0, -0.68
272.0, 5.0, -0.2
273.0, 10.0, -0.39999999999999997
274.0, 25.0, -1.0000000000000002
275.0, 9.0, 0.6799999999999999
276.0, 6.0, -0.24000000000000002
277.0, 14.0, -0.5599999999999999
278.0, 3.0, -0.12
279.0, 5.0, 0.84
280.0, 13.0, -0.5199999999999999
281.0, 9.0, -0.36
282.0, 8.0, -0.32
283.0, 7.0, 0.76
284.0, 7.0, -0.28
285.0, 4.0, -0.16
286.0, 5.0, -0.2
287.0, 5.0, -0.2
288.0, 6.0, -0.24000000000000002
289.0, 7.0, -0.28
290.0, 22.0, -0.8800000000000002
291.0, 11.0, -0.43999999999999995
292.0, 9.0, -0.36
293.0, 6.0, -0.24000000000000002
294.0, 4.0, -0.16
295.0, 5.0, -0.2
296.0, 21.0, -0.8400000000000002
297.0, 9.0, -0.36
298.0, 17.0, -0.68
299.0, 3.0, -0.12
300.0, 3.0, -0.12
301.0, 7.0, -0.28
302.0, 5.0, -0.2
303.0, 9.0, 0.6799999999999999
304.0, 16.0, -0.64
305.0, 9.0, -0.36
306.0, 20.0, -0.8000000000000002
307.0, 3.0, -0.12
308.0, 16.0, -0.64
309.0, 8.0, -0.32
310.0, 5.0, -0.2
311.0, 15.0, -0.6
312.0, 8.0, -0.32
313.0, 6.0, 0.8
314.0, 2.0, -0.08
315.0, 6.0, -0.24000000000000002
316.0, 5.0, -0.2
317.0, 7.0, 0.76
318.0, 4.0, 0.88
319.0, 6.0, -0.24000000000000002
320.0, 14.0, -0.5599999999999999
321.0, 17.0, -0.68
322.0, 6.0, -0.24000000000000002
323.0, 12.0, -0.4799999999999999
324.0, 6.0, -0.24000000000000002
325.0, 5.0, -0.2
326.0, 6.0, -0.24000000000000002
327.0, 13.0, -0.5199999999999999
328.0, 11.0, -0.43999999999999995
329.0, 7.0, -0.28
330.0, 19.0, -0.7600000000000001
331.0, 20.0, -0.8000000000000002
332.0, 4.0, -0.16
333.0, 3.0, -0.12
334.0, 4.0, -0.16
335.0, 3.0, -0.12
336.0, 9.0, -0.36
337.0, 30.0, -1.2000000000000004
338.0, 4.0, -0.16
339.0, 10.0, -0.39999999999999997
340.0, 2.0, -0.08
341.0, 3.0, -0.12
342.0, 4.0, -0.16
343.0, 20.0, -0.8000000000000002
344.0, 9.0, -0.36
345.0, 4.0, -0.16
346.0, 6.0, -0.24000000000000002
347.0, 4.0, -0.16
348.0, 3.0, -0.12
349.0, 6.0, -0.24000000000000002
350.0, 7.0, -0.28
351.0, 9.0, -0.36
352.0, 6.0, -0.24000000000000002
353.0, 11.0, 0.6000000000000001
354.0, 4.0, -0.16
355.0, 8.0, -0.32
356.0, 7.0, -0.28
357.0, 4.0, -0.16
358.0, 15.0, -0.6
359.0, 5.0, 0.84
360.0, 7.0, 0.76
361.0, 5.0, -0.2
362.0, 9.0, -0.36
363.0, 7.0, -0.28
364.0, 3.0, -0.12
365.0, 3.0, -0.12
366.0, 13.0, -0.5199999999999999
367.0, 5.0, -0.2
368.0, 5.0, 0.84
369.0, 4.0, -0.16
370.0, 7.0, -0.28
371.0, 4.0, -0.16
372.0, 10.0, -0.39999999999999997
373.0, 4.0, 0.88
374.0, 11.0, 0.6000000000000001
375.0, 6.0, -0.24000000000000002
376.0, 4.0, -0.16
377.0, 5.0, -0.2
378.0, 8.0, 0.72
379.0, 5.0, -0.2
380.0, 6.0, -0.24000000000000002
381.0, 11.0, -0.43999999999999995
382.0, 6.0, 0.8
383.0, 6.0, -0.24000000000000002
384.0, 11.0, -0.43999999999999995
385.0, 11.0, 0.6000000000000001
386.0, 4.0, -0.16
387.0, 11.0, -0.43999999999999995
388.0, 12.0, -0.4799999999999999
389.0, 42.0, -1.6800000000000008
390.0, 11.0, 0.6000000000000001
391.0, 3.0, 0.92
392.0, 4.0, 0.88
393.0, 3.0, -0.12
394.0, 7.0, -0.28
395.0, 3.0, -0.12
396.0, 6.0, -0.24000000000000002
397.0, 6.0, -0.24000000000000002
398.0, 12.0, -0.4799999999999999
399.0, 11.0, -0.43999999999999995
400.0, 9.0, 0.6799999999999999
401.0, 14.0, -0.5599999999999999
402.0, 5.0, -0.2
403.0, 5.0, -0.2
404.0, 9.0, -0.36
405.0, 9.0, 0.6799999999999999
406.0, 4.0, -0.16
407.0, 8.0, -0.32
408.0, 7.0, -0.28
409.0, 4.0, 0.88
410.0, 5.0, 0.84
411.0, 6.0, -0.24000000000000002
412.0, 19.0, -0.7600000000000001
413.0, 5.0, 0.84
414.0, 3.0, -0.12
415.0, 14.0, -0.5599999999999999
416.0, 11.0, 0.6000000000000001
417.0, 4.0, -0.16
418.0, 13.0, -0.5199999999999999
419.0, 19.0, -0.7600000000000001
420.0, 4.0, -0.16
421.0, 6.0, -0.24000000000000002
422.0, 7.0, -0.28
423.0, 4.0, -0.16
424.0, 7.0, -0.28
425.0, 3.0, -0.12
426.0, 9.0, 0.6799999999999999
427.0, 6.0, -0.24000000000000002
428.0, 4.0, -0.16
429.0, 10.0, -0.39999999999999997
430.0, 7.0, -0.28
431.0, 4.0, 0.88
432.0, 8.0, -0.32
433.0, 11.0, 0.6000000000000001
434.0, 20.0, -0.8000000000000002
435.0, 4.0, -0.16
436.0, 8.0, -0.32
437.0, 3.0, 0.92
438.0, 4.0, -0.16
439.0, 6.0, -0.24000000000000002
440.0, 3.0, 0.92
441.0, 21.0, -0.8400000000000002
442.0, 6.0, -0.24000000000000002
443.0, 10.0, -0.39999999999999997
444.0, 7.0, 0.76
445.0, 6.0, -0.24000000000000002
