# episode, exploration_rate, rewards_current_episode, step, winner
113, 0.8942191535148554, 41, 10, AI
114, 0.8933353763235842, -52, 3, Opponent
115, 0.892452482467763, -53, 4, Opponent
116, 0.8915704710644979, 90, 10, AI
117, 0.8906893412317772, 98, 2, AI
118, 0.8898090920884711, -59, 9, Opponent
119, 0.8889297227543306, -51, 2, Opponent
120, 0.888051232349986, -53, 4, Opponent
121, 0.8871736199969468, 145, 6, AI
122, 0.8862968848176008, 139, 12, AI
123, 0.8854210259352127, -56, 6, Opponent
124, 0.8845460424739234, -58, 9, Opponent
125, 0.8836719335587495, -113, 16, Opponent
126, 0.8827986983155819, 96, 4, AI
127, 0.8819263358711854, -104, 6, Opponent
128, 0.8810548453531973, 98, 2, AI
129, 0.8801842258901273, -53, 4, Opponent
130, 0.8793144766113556, -106, 8, Opponent
131, 0.8784455966471331, 98, 2, AI
132, 0.8775775851285795, -52, 2, Opponent
133, 0.8767104411876834, -60, 10, Opponent
134, 0.8758441639573007, -54, 4, Opponent
135, 0.8749787525711541, 141, 10, AI
136, 0.8741142061638321, -109, 11, Opponent
137, 0.8732505238707883, -59, 10, Opponent
138, 0.8723877048283404, 94, 6, AI
139, 0.871525748173669, 145, 6, AI
140, 0.8706646530448178, -56, 6, Opponent
141, 0.8698044185806911, 98, 2, AI
142, 0.8689450439210549, 97, 3, AI
143, 0.868086528206534, 90, 10, AI
144, 0.867228870578613, -52, 3, Opponent
145, 0.8663720701796339, -110, 11, Opponent
146, 0.8655161261527964, 92, 8, AI
147, 0.8646610376421562, 95, 5, AI
148, 0.8638068037926251, 88, 12, AI
149, 0.8629534237499686, -22, 24, AI
150, 0.8621008966608072, 97, 3, AI
151, 0.8612492216726134, -54, 5, Opponent
152, 0.8603983979337122, 97, 3, AI
153, 0.8595484245932798, -16, 18, Opponent
154, 0.8586993008013429, 97, 3, AI
155, 0.8578510257087774, -60, 10, Opponent
156, 0.8570035984673082, -103, 4, Opponent
157, 0.8561570182295082, -54, 4, Opponent
158, 0.8553112841487969, -106, 8, Opponent
159, 0.8544663953794402, -53, 4, Opponent
160, 0.8536223510765493, -59, 9, Opponent
161, 0.8527791503960795, -111, 12, Opponent
