# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 0.09405000000000001, 0.0, 2.1630910139974553, 0.0
0.0, 1.0, 0.0, 2.0, 1.4571484218225, 0.3037, 0.0, 2.5278714136806437, 0.0
0.0, 1.0, 0.0, 3.0, 0.0, 1.7764280155185583, 0.0, 0.7593409665988478, 0.0
0.0, 1.0, 0.0, 4.0, 2.2087276885570186, -0.013500000000000012, 0.0, 2.868558611114626, 0.0
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.09405000000000001, 0.0, 2.1630910139974553
0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.72890991269612, 2.907417975355182
0.0, 1.0, 1.0, 2.0, 0.0, 0.1235, 0.23054625, 2.724542937378354, 1.5062641721300252
0.0, 1.0, 1.0, 3.0, 0.0, 0.8009210801875, 0.17300000000000001, 2.5277608879795603, 1.4612128008363532
0.0, 1.0, 1.0, 4.0, 0.0, -0.007500000000000007, 0.2959857630984375, 2.3828960233207064, 0.9766404180730922
0.0, 1.0, 2.0, 0.0, 1.4571484218225, 0.0, 0.3037, 0.0, 2.5278714136806437
0.0, 1.0, 2.0, 1.0, 0.0, 0.23054625, 0.1235, 1.5062641721300252, 2.724542937378354
0.0, 1.0, 2.0, 2.0, 0.0, 0.658088725, 0.658088725, 2.7469242924382877, 2.7331381027092085
0.0, 1.0, 2.0, 3.0, 0.0, 1.6166233880721554, 2.466869279199469, 1.6626100067004401, 1.9057467845928304
0.0, 1.0, 2.0, 4.0, 0.0, -0.0025000000000000022, 0.6312382824999999, 3.075323014756605, 1.7170015797457105
0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 1.7764280155185583, 0.0, 0.7593409665988478
0.0, 1.0, 3.0, 1.0, 0.0, 0.17300000000000001, 0.8009210801875, 1.4612128008363532, 2.5277608879795603
0.0, 1.0, 3.0, 2.0, 0.0, 2.466869279199469, 1.6166233880721554, 1.9057467845928304, 1.6626100067004401
0.0, 1.0, 3.0, 3.0, 0.0, 0.9750405475799999, 0.9750405475799999, 2.732406388708879, 2.4444523317393565
0.0, 1.0, 3.0, 4.0, 0.0, -0.0025000000000000022, 0.190575, 2.690709543167424, 1.8435816200828832
0.0, 1.0, 4.0, 0.0, 2.2087276885570186, 0.0, -0.013500000000000012, 0.0, 2.868558611114626
0.0, 1.0, 4.0, 1.0, 0.0, 0.2959857630984375, -0.007500000000000007, 0.9766404180730922, 2.3828960233207064
0.0, 1.0, 4.0, 2.0, 0.0, 0.6312382824999999, -0.0025000000000000022, 1.7170015797457105, 3.075323014756605
0.0, 1.0, 4.0, 3.0, 0.0, 0.190575, -0.0025000000000000022, 1.8435816200828832, 2.690709543167424
0.0, 1.0, 4.0, 4.0, 1.1464689000000003, -0.0015000000000000013, -0.003500000000000003, -0.024562860187162708, -0.024562860187162708
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 4.052886616345395, 0.2588531052804688, 0.0, 1.5495246950948673, 0.0
0.0, 2.0, 0.0, 2.0, 0.452269125, 0.0, 0.0, 1.47563490470625, 0.0
0.0, 2.0, 0.0, 3.0, 2.2488758116738294, -0.003500000000000003, 0.0, 94.55645088183573, 0.0
0.0, 2.0, 0.0, 4.0, 2.0346623062226357, 1.3715528956175664, 0.0, 0.6338149078417112, 0.0
0.0, 2.0, 1.0, 0.0, 4.052886616345395, 0.0, 0.2588531052804688, 0.0, 1.5495246950948673
0.0, 2.0, 1.0, 1.0, 0.7939316250000001, 2.608320103642528, 2.608320103642528, 0.6985745007429688, 0.6985745007429688
0.0, 2.0, 1.0, 2.0, 0.45933525, 0.18885000000000002, 0.074, 1.0023180244556935, -0.2320590058671875
0.0, 2.0, 1.0, 3.0, 1.9089538056359505, -0.006500000000000006, 0.29205000000000003, -0.002272522997462348, 0.038313246592147174
0.0, 2.0, 1.0, 4.0, 2.643992009087976, 0.3037, 0.23265, 1.4303185429141918, -0.2571071003800233
0.0, 2.0, 2.0, 0.0, 0.452269125, 0.0, 0.0, 0.0, 1.47563490470625
0.0, 2.0, 2.0, 1.0, 0.45933525, 0.074, 0.18885000000000002, -0.2320590058671875, 1.0023180244556935
0.0, 2.0, 2.0, 2.0, 0.0495, 0.0, 0.0, 0.671629303125, 0.671629303125
0.0, 2.0, 2.0, 3.0, 2.374245443726092, -0.0005000000000000004, 0.0, 1.2674700495, -0.2849131424676313
0.0, 2.0, 2.0, 4.0, 0.416901375, 0.1909975, 0.0, 1.8887551260175828, 0.0
0.0, 2.0, 3.0, 0.0, 2.2488758116738294, 0.0, -0.003500000000000003, 0.0, 94.55645088183573
0.0, 2.0, 3.0, 1.0, 1.9089538056359505, 0.29205000000000003, -0.006500000000000006, 0.038313246592147174, -0.002272522997462348
0.0, 2.0, 3.0, 2.0, 2.374245443726092, 0.0, -0.0005000000000000004, -0.2849131424676313, 1.2674700495
0.0, 2.0, 3.0, 3.0, 3.566634269475876, -0.0040000000000000036, -0.0040000000000000036, 1.4880051060053898, 1.2688945622282108
0.0, 2.0, 3.0, 4.0, 2.6542488869448166, 0.393486153125, -0.006000000000000005, 0.15348828739070317, 0.5386050000000002
0.0, 2.0, 4.0, 0.0, 2.0346623062226357, 0.0, 1.3715528956175664, 0.0, 0.6338149078417112
0.0, 2.0, 4.0, 1.0, 2.643992009087976, 0.23265, 0.3037, -0.2571071003800233, 1.4303185429141918
0.0, 2.0, 4.0, 2.0, 0.416901375, 0.0, 0.1909975, 0.0, 1.8887551260175828
0.0, 2.0, 4.0, 3.0, 2.6542488869448166, -0.006000000000000005, 0.393486153125, 0.5386050000000002, 0.15348828739070317
0.0, 2.0, 4.0, 4.0, 2.974512441592311, 0.7699172856250001, 1.498929701220625, 0.43345007500000005, 0.43345007500000005
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 17.013793046424556, -0.27270144653271233, 0.0, -0.15564920498311569, 0.0
0.0, 3.0, 0.0, 2.0, 2.4567844374712586, -0.01150000000000001, 0.0, 1.963490574648368, 0.0
0.0, 3.0, 0.0, 3.0, 0.0, 2.3942834041479784, 0.0, 0.7246886862010664, 0.0
0.0, 3.0, 0.0, 4.0, 1.6357927353534323, 0.8693963119592584, 0.0, 0.5694162298687695, 0.0
0.0, 3.0, 1.0, 0.0, 17.013793046424556, 0.0, -0.27270144653271233, 0.0, -0.15564920498311569
0.0, 3.0, 1.0, 1.0, 0.0, -0.0713125, -0.0713125, 2.089492199130177, 2.089492199130177
0.0, 3.0, 1.0, 2.0, 0.0, -0.0040000000000000036, 0.43354750000000003, 0.19903034317594825, 1.543160142730146
0.0, 3.0, 1.0, 3.0, 0.0, 0.198, 0.353595, 1.2529361245500001, 1.6886392528157916
0.0, 3.0, 1.0, 4.0, 0.0, 0.3323774953082461, -0.08076714201925392, 1.085298249229987, 1.761067050595798
0.0, 3.0, 2.0, 0.0, 2.4567844374712586, 0.0, -0.01150000000000001, 0.0, 1.963490574648368
0.0, 3.0, 2.0, 1.0, 0.0, 0.43354750000000003, -0.0040000000000000036, 1.543160142730146, 0.19903034317594825
0.0, 3.0, 2.0, 2.0, 0.0, 2.3251140123680165, 2.4714600137422407, 0.995748297027506, 0.7229425522527844
0.0, 3.0, 2.0, 3.0, 0.0, 0.198, 0.0, 1.962268759351308, 1.9652537603607512
0.0, 3.0, 2.0, 4.0, 0.0, 0.771978272484375, -0.0015000000000000013, 2.1878439170301913, -0.0046475651250000045
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 2.3942834041479784, 0.0, 0.7246886862010664
0.0, 3.0, 3.0, 1.0, 0.0, 0.353595, 0.198, 1.6886392528157916, 1.2529361245500001
0.0, 3.0, 3.0, 2.0, 0.0, 0.0, 0.198, 1.9652537603607512, 1.962268759351308
0.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 2.5432992333549946, 2.5432992333549946
0.0, 3.0, 3.0, 4.0, 0.0, 0.0, 0.047775, 0.57483715, 2.1681474868617516
0.0, 3.0, 4.0, 0.0, 1.6357927353534323, 0.0, 0.8693963119592584, 0.0, 0.5694162298687695
0.0, 3.0, 4.0, 1.0, 0.0, -0.08076714201925392, 0.3323774953082461, 1.761067050595798, 1.085298249229987
0.0, 3.0, 4.0, 2.0, 0.0, -0.0015000000000000013, 0.771978272484375, -0.0046475651250000045, 2.1878439170301913
